DATABASE: townetrl_townflow2

==============================
TABLE: auth_group
==============================


==============================
TABLE: auth_group_permissions
==============================


==============================
TABLE: auth_permission
==============================
+-----+----------------------------------+-----------------+----------------------------+
| id  | name                             | content_type_id | codename                   |
+-----+----------------------------------+-----------------+----------------------------+
|   1 | Can add permission               |               1 | add_permission             |
|   2 | Can change permission            |               1 | change_permission          |
|   3 | Can delete permission            |               1 | delete_permission          |
|   4 | Can view permission              |               1 | view_permission            |
|   5 | Can add group                    |               2 | add_group                  |
|   6 | Can change group                 |               2 | change_group               |
|   7 | Can delete group                 |               2 | delete_group               |
|   8 | Can view group                   |               2 | view_group                 |
|   9 | Can add content type             |               3 | add_contenttype            |
|  10 | Can change content type          |               3 | change_contenttype         |
|  11 | Can delete content type          |               3 | delete_contenttype         |
|  12 | Can view content type            |               3 | view_contenttype           |
|  13 | Can add user                     |               4 | add_user                   |
|  14 | Can change user                  |               4 | change_user                |
|  15 | Can delete user                  |               4 | delete_user                |
|  16 | Can view user                    |               4 | view_user                  |
|  17 | Can add otp session              |               5 | add_otpsession             |
|  18 | Can change otp session           |               5 | change_otpsession          |
|  19 | Can delete otp session           |               5 | delete_otpsession          |
|  20 | Can view otp session             |               5 | view_otpsession            |
|  21 | Can add alert                    |               6 | add_alert                  |
|  22 | Can change alert                 |               6 | change_alert               |
|  23 | Can delete alert                 |               6 | delete_alert               |
|  24 | Can view alert                   |               6 | view_alert                 |
|  25 | Can add blood group              |               7 | add_bloodgroup             |
|  26 | Can change blood group           |               7 | change_bloodgroup          |
|  27 | Can delete blood group           |               7 | delete_bloodgroup          |
|  28 | Can view blood group             |               7 | view_bloodgroup            |
|  29 | Can add donor profile            |               8 | add_donorprofile           |
|  30 | Can change donor profile         |               8 | change_donorprofile        |
|  31 | Can delete donor profile         |               8 | delete_donorprofile        |
|  32 | Can view donor profile           |               8 | view_donorprofile          |
|  33 | Can add blood request            |               9 | add_bloodrequest           |
|  34 | Can change blood request         |               9 | change_bloodrequest        |
|  35 | Can delete blood request         |               9 | delete_bloodrequest        |
|  36 | Can view blood request           |               9 | view_bloodrequest          |
|  37 | Can add blood request match      |              10 | add_bloodrequestmatch      |
|  38 | Can change blood request match   |              10 | change_bloodrequestmatch   |
|  39 | Can delete blood request match   |              10 | delete_bloodrequestmatch   |
|  40 | Can view blood request match     |              10 | view_bloodrequestmatch     |
|  41 | Can add post                     |              11 | add_post                   |
|  42 | Can change post                  |              11 | change_post                |
|  43 | Can delete post                  |              11 | delete_post                |
|  44 | Can view post                    |              11 | view_post                  |
|  45 | Can add post like                |              12 | add_postlike               |
|  46 | Can change post like             |              12 | change_postlike            |
|  47 | Can delete post like             |              12 | delete_postlike            |
|  48 | Can view post like               |              12 | view_postlike              |
|  49 | Can add post comment             |              13 | add_postcomment            |
|  50 | Can change post comment          |              13 | change_postcomment         |
|  51 | Can delete post comment          |              13 | delete_postcomment         |
|  52 | Can view post comment            |              13 | view_postcomment           |
|  53 | Can add library resource         |              14 | add_libraryresource        |
|  54 | Can change library resource      |              14 | change_libraryresource     |
|  55 | Can delete library resource      |              14 | delete_libraryresource     |
|  56 | Can view library resource        |              14 | view_libraryresource       |
|  57 | Can add resource progress        |              15 | add_resourceprogress       |
|  58 | Can change resource progress     |              15 | change_resourceprogress    |
|  59 | Can delete resource progress     |              15 | delete_resourceprogress    |
|  60 | Can view resource progress       |              15 | view_resourceprogress      |
|  61 | Can add event                    |              16 | add_event                  |
|  62 | Can change event                 |              16 | change_event               |
|  63 | Can delete event                 |              16 | delete_event               |
|  64 | Can view event                   |              16 | view_event                 |
|  65 | Can add event rsvp               |              17 | add_eventrsvp              |
|  66 | Can change event rsvp            |              17 | change_eventrsvp           |
|  67 | Can delete event rsvp            |              17 | delete_eventrsvp           |
|  68 | Can view event rsvp              |              17 | view_eventrsvp             |
|  69 | Can add home banner              |              18 | add_homebanner             |
|  70 | Can change home banner           |              18 | change_homebanner          |
|  71 | Can delete home banner           |              18 | delete_homebanner          |
|  72 | Can view home banner             |              18 | view_homebanner            |
|  73 | Can add quick action             |              19 | add_quickaction            |
|  74 | Can change quick action          |              19 | change_quickaction         |
|  75 | Can delete quick action          |              19 | delete_quickaction         |
|  76 | Can view quick action            |              19 | view_quickaction           |
|  77 | Can add job                      |              20 | add_job                    |
|  78 | Can change job                   |              20 | change_job                 |
|  79 | Can delete job                   |              20 | delete_job                 |
|  80 | Can view job                     |              20 | view_job                   |
|  81 | Can add job application          |              21 | add_jobapplication         |
|  82 | Can change job application       |              21 | change_jobapplication      |
|  83 | Can delete job application       |              21 | delete_jobapplication      |
|  84 | Can view job application         |              21 | view_jobapplication        |
|  85 | Can add service category         |              22 | add_servicecategory        |
|  86 | Can change service category      |              22 | change_servicecategory     |
|  87 | Can delete service category      |              22 | delete_servicecategory     |
|  88 | Can view service category        |              22 | view_servicecategory       |
|  89 | Can add service provider         |              23 | add_serviceprovider        |
|  90 | Can change service provider      |              23 | change_serviceprovider     |
|  91 | Can delete service provider      |              23 | delete_serviceprovider     |
|  92 | Can view service provider        |              23 | view_serviceprovider       |
|  93 | Can add service booking          |              24 | add_servicebooking         |
|  94 | Can change service booking       |              24 | change_servicebooking      |
|  95 | Can delete service booking       |              24 | delete_servicebooking      |
|  96 | Can view service booking         |              24 | view_servicebooking        |
|  97 | Can add onboarding progress      |              25 | add_onboardingprogress     |
|  98 | Can change onboarding progress   |              25 | change_onboardingprogress  |
|  99 | Can delete onboarding progress   |              25 | delete_onboardingprogress  |
| 100 | Can view onboarding progress     |              25 | view_onboardingprogress    |
| 101 | Can add user profile             |              26 | add_userprofile            |
| 102 | Can change user profile          |              26 | change_userprofile         |
| 103 | Can delete user profile          |              26 | delete_userprofile         |
| 104 | Can view user profile            |              26 | view_userprofile           |
| 105 | Can add device token             |              27 | add_devicetoken            |
| 106 | Can change device token          |              27 | change_devicetoken         |
| 107 | Can delete device token          |              27 | delete_devicetoken         |
| 108 | Can view device token            |              27 | view_devicetoken           |
| 109 | Can add issue report             |              28 | add_issuereport            |
